,City,ID,Humidity,Longitude,Latitude,Temperature (F),Cloudiness,Wind Speed
0,Kapaa,5848280,78,-159.32,22.08,80.26,75,13.87
1,Ahipara,2194098,74,173.17,-35.17,61.52,88,5.95
4,Albany,5106841,56,-73.97,42.6,78.91,8,4
5,Hualmay,3939761,84,-77.61,-11.1,62.13,10,8.28
6,Nikolskoye,546105,87,30.79,59.7,50.94,1,6.71
7,Palaia Fokaia,256173,69,23.95,37.72,73.8,2,12.75
8,Bethel,5282297,42,-73.41,41.37,79.77,1,5.82
9,Punta Arenas,3874787,80,-70.92,-53.15,35.29,90,8.05
10,Namatanai,2090021,73,152.43,-3.67,82.89,100,5.1
12,Rikitea,4030556,85,-134.97,-23.12,73.17,53,12.1
13,Qaqortoq,3420846,76,-46.03,60.72,55.4,100,6.93
14,Mataura,6201424,83,168.86,-46.19,39,91,3
15,Constitución,3893726,79,-72.42,-35.33,53.15,41,5.91
16,Kulhudhuffushi,1337613,69,73.07,6.62,83.88,46,6.82
18,Bredasdorp,1015776,87,20.04,-34.53,46.4,70,13.87
19,Ushuaia,3833367,86,-68.3,-54.8,33.8,40,18.34
20,Tiksi,2015306,96,128.87,71.69,41.56,99,9.37
22,Lüderitz,3355672,71,15.16,-26.65,55.4,0,16.11
23,Belyy Yar,1510377,88,91.39,53.6,64.4,95,4.47
24,Puerto Ayora,3652764,91,-90.35,-0.74,69.01,47,8.68
25,Uauá,3385883,71,-39.48,-9.84,70.92,32,10.22
26,Nokaneng,933211,41,22.27,-19.67,47.08,0,2.95
27,Vila Velha,3445026,78,-40.29,-20.33,75.2,0,11.41
28,Hobart,2163355,81,147.33,-42.88,42.75,75,5.82
29,Hermanus,3366880,75,19.23,-34.42,51.01,99,11.99
31,Upernavik,3418910,88,-56.15,72.79,40.82,70,13.87
32,Ilulissat,3423146,70,-51.1,69.22,46.4,100,0.22
33,Pevek,2122090,74,170.31,69.7,42.15,80,0.63
34,Dikson,1507390,97,80.55,73.51,39.34,100,14.61
36,Lander,5830007,10,-108.73,42.83,87.15,1,26.4
37,Tuktoyaktuk,6170031,63,-133.04,69.45,62.6,40,6.93
38,George Town,1735106,94,100.34,5.41,77.63,20,1.57
39,Chokurdakh,2126123,37,147.92,70.63,65.97,39,14.47
40,Busselton,2075265,78,115.33,-33.65,48.54,51,12.53
41,Colomi,3919813,92,-65.87,-17.35,66.2,32,3.36
42,Coldingham,2655819,81,-2.16,55.89,51.66,3,15.28
43,Hofn,2630299,81,-15.21,64.25,50.68,95,4.21
44,Leningradskiy,2123814,80,178.42,69.38,40.93,100,10.56
45,Tarabuco,3903391,77,-64.92,-19.17,46.45,0,4.7
46,Monrovia,2274895,94,-10.8,6.3,77,75,4.7
47,Hilo,5855927,58,-155.09,19.73,76.78,1,8.05
48,Yulara,6355222,60,130.99,-25.24,41,0,5.82
49,Qaanaaq,3831208,65,-69.36,77.48,44.62,0,7.67
50,New Norfolk,2155415,92,147.06,-42.78,40.01,7,1.77
52,Lompoc,5367788,72,-120.46,34.64,63.95,4,16.11
53,Dalvik,2632287,87,-18.53,65.97,51.8,90,8.05
54,Provideniya,4031574,66,-173.3,64.38,53.6,94,13.42
55,Saint-Paul,935221,73,55.27,-21.01,60.91,20,10.29
56,Mehamn,778707,86,27.85,71.04,45.18,57,3.38
57,Saskylakh,2017155,63,114.08,71.92,63.59,86,12.5
58,Song Phi Nong,1606139,80,100.02,14.22,80.96,100,4.41
59,Tupik,2014836,58,119.93,54.43,74.43,93,0.85
60,Sabha,2212775,30,14.43,27.04,78.51,0,17.09
61,Caravelas,3466980,89,-39.25,-17.71,71.37,13,5.5
62,Castro,3466704,86,-50.01,-24.79,62.42,20,5.35
63,Kuty,703514,86,25.18,48.26,48.15,4,4.59
64,Khandyga,2022773,73,135.6,62.67,73.6,73,4.7
65,Werda,932960,66,23.28,-25.27,41.76,0,7.85
66,Mbandaka,2312895,95,18.26,0.05,68.9,99,2.37
67,Szczytno,757357,100,20.99,53.56,48.2,12,2.24
68,Hasaki,2112802,100,140.83,35.73,71.87,75,5.82
69,Yar-Sale,1486321,72,70.83,66.83,51.13,88,15.01
70,Kiruna,605155,93,20.23,67.86,44.6,100,2.24
71,Khatanga,2022572,49,102.5,71.97,68.54,26,13.13
72,Jamestown,5122534,64,-79.24,42.1,70.56,1,10.29
73,Nanortalik,3421765,93,-45.24,60.14,44.64,100,2.89
74,Grand Gaube,934479,79,57.66,-20.01,71.01,3,1.99
75,Lagoa,3372964,83,-27.98,39.05,68.92,6,11.97
76,San Cristobal,3628473,51,-72.22,7.77,82.4,40,18.34
78,Kapit,1737185,95,112.93,2.02,73.67,100,1.14
79,Preston,2639912,89,-2.72,53.77,58.57,99,8.14
80,Baker City,5712169,19,-117.83,44.77,75.56,1,11.41
82,Pisco,3932145,87,-76.22,-13.7,60.89,90,4.7
83,Cidreira,3466165,70,-50.21,-30.18,51.35,59,10.8
84,Kingman,5301067,13,-114.05,35.19,103.68,1,19.46
85,Mar del Plata,3430863,65,-57.56,-38,41.7,20,11.41
86,San Diego de la Unión,3987309,22,-100.87,21.47,81.99,0,4
87,Ust-Nera,2120048,59,143.2,64.57,73.08,98,8.5
89,Nome,5870133,76,-165.41,64.5,56.39,1,18.34
90,Narsaq,3421719,76,-46.05,60.92,55.4,100,6.93
91,Butaritari,2110227,74,172.79,3.07,81.03,85,1.19
92,Oistins,3373652,74,-59.53,13.07,82.4,40,14.99
94,Cherskiy,2126199,54,161.3,68.75,64.71,19,2.57
95,Burgos,3127460,71,-3.71,42.34,54.61,5,6.93
96,Laas,3175096,93,10.7,46.62,55.4,5,3.36
97,Orlik,1496073,67,99.83,52.52,63.12,94,0.36
98,Saint Paul Harbor,5866583,72,-152.41,57.79,59,90,9.17
99,Talnakh,1490256,93,88.4,69.49,53.6,75,2.24
100,Batagay,2027044,54,134.63,67.63,68.54,57,12.55
101,Atuona,4020109,78,-139.03,-9.8,79.18,25,19.01
102,Gogrial,374739,83,28.1,8.53,73.83,90,3.38
103,Heraclea,315498,37,34.05,37.51,67.23,0,4.43
104,Prince Rupert,6113406,72,-130.32,54.32,62.6,1,5.82
105,Hithadhoo,1282256,75,73.08,-0.6,84.51,83,8.37
106,Harper,2276492,81,-7.72,4.38,75.4,100,10.58
107,Letlhakane,933535,41,25.58,-21.42,48.4,0,7.11
108,Baykit,1510689,58,96.37,61.67,68.31,36,3.15
109,Margate,2643044,65,1.39,51.38,64.85,100,6.89
110,Muscle Shoals,4078964,63,-87.67,34.74,85.37,10,4.52
111,Lebanon,4636045,51,-86.29,36.21,87.17,1,4.7
112,Esperance,2071860,26,121.9,-33.87,57.2,75,20.8
113,Bluff,2206939,83,168.33,-46.6,39,90,3
